Player_name,Player_Ground,Player_match,Player_Inns,Player_NO,Player_Runs,Player_HS,Player_Ave,Player_BF,Player_SR,Player_hundred
HH Pandya,Australia - Sydney Cricket Ground,2,2,0,118,90,59,107,110.28,0
JJ Roy,"India - Maharashtra Cricket Association Stadium, Pune",3,3,0,115,55,38.33,93,123.65,0
HT Tector,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",5,5,0,115,33,23,195,58.97,0
AT Carey,"West Indies - Kensington Oval, Bridgetown, Barbados",3,3,0,112,67,37.33,152,73.68,0
V Kohli,Australia - Sydney Cricket Ground,2,2,0,110,89,55,108,101.85,0
CP Rizwan,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",2,2,0,110,109,55,149,73.82,1
Simi Singh,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",4,4,1,110,54*,36.66,117,94.01,0
A Balbirnie,"Ireland - The Village, Malahide, Dublin",2,2,0,109,102,54.5,131,83.2,1
RD Berrington,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,0,109,97,54.5,104,104.8,0
Fakhar Zaman,"South Africa - SuperSport Park, Centurion",2,2,0,109,101,54.5,116,93.96,1
Mohammad Nadeem,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),5,5,1,109,38*,27.25,227,48.01,0
GJ Maxwell,Australia - Sydney Cricket Ground,2,2,1,108,63*,108,48,225,0
Rahmat Shah,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",3,3,1,108,103*,54,127,85.03,1
HT Tector,"Ireland - The Village, Malahide, Dublin",2,2,0,108,79,54,102,105.88,0
SM Curran,"India - Maharashtra Cricket Association Stadium, Pune",3,2,1,107,95*,107,103,103.88,0
Imam-ul-Haq,Pakistan - Rawalpindi Cricket Stadium,2,2,0,107,58,53.5,136,78.67,0
HG Munsey,"Netherlands - Hazelaarweg, Rotterdam",2,2,1,106,79*,106,133,79.69,0
Muhammad Usman,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",2,2,1,105,102*,105,122,86.06,1
SJ Myburgh,"Netherlands - Sportpark Maarschalkerweerd, Utrecht",3,3,0,105,74,35,173,60.69,0
PP Shaw,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",3,3,0,105,49,35,84,125,0
M Bhanuka,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",5,5,0,104,36,20.8,155,67.09,0
S Dhawan,Australia - Sydney Cricket Ground,2,2,0,104,74,52,109,95.41,0
MD Shanaka,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",6,6,0,104,39,17.33,137,75.91,0
Rashid Khan,"U.A.E. - Sheikh Zayed Stadium, Abu Dhabi",3,2,0,103,55,51.5,70,147.14,0
JM Vince,"England - Edgbaston, Birmingham",1,1,0,102,102,102,95,107.36,1
H Klaasen,"Sri Lanka - R.Premadasa Stadium, Khettarama, Colombo",3,3,0,101,43,33.66,88,114.77,0
HH Pandya,"India - Maharashtra Cricket Association Stadium, Pune",3,3,0,100,64,33.33,69,144.92,0
LD Chandimal,"West Indies - Sir Vivian Richards Stadium, North Sound, Antigua",3,3,0,99,71,33,149,66.44,0
N Vanua,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4,4,0,99,57,24.75,90,110,0
PWH de Silva,"Bangladesh - Shere Bangla National Stadium, Mirpur, Dhaka",3,3,0,98,74,32.66,95,103.15,0
BRM Taylor,Zimbabwe - Harare Sports Club,3,3,0,98,46,32.66,127,77.16,0
Babar Azam,Pakistan - Rawalpindi Cricket Stadium,2,2,1,96,77*,96,92,104.34,0
MH Cross,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2,2,0,95,70,47.5,108,87.96,0
MP O'Dowd,"Netherlands - Sportpark Maarschalkerweerd, Utrecht",3,3,0,95,36,31.66,133,71.42,0
KH Pandya,"India - Maharashtra Cricket Association Stadium, Pune",3,3,2,95,58*,95,74,128.37,0
A Vala,Oman - Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4,4,0,93,62,23.25,133,69.92,0
